País,Código de País,Código de ubicación,Año,Hombres,Mujeres
   Brunei Darussalam,BRN,96,2005,55265,43176
   Cambodia,KHM,116,2005,57545,56551
   Indonesia,IDN,360,2005,165287,124023
   Lao People's Democratic Republic,LAO,418,2005,10930,9441
   Malaysia*,MYS,458,2005,1133541,784963
   Myanmar,MMR,104,2005,44506,38519
   Philippines,PHL,608,2005,133023,124445
   Singapore,SGP,702,2005,758762,951832
   Thailand,THA,764,2005,1102248,1093362
   Timor-Leste,TLS,626,2005,5578,5708
   Viet Nam,VNM,704,2005,31106,20662
   Afghanistan,AFG,4,2005,49281,38033
   Bangladesh,BGD,50,2005,572146,490124
   Bhutan,BTN,64,2005,32742,7537
   India,IND,356,2005,2931489,3005251
   Iran (Islamic Republic of),IRN,364,2005,1401736,1150470
   Maldives,MDV,462,2005,27079,17966
   Nepal,NPL,524,2005,235852,444877
   Pakistan,PAK,586,2005,1710343,1464215
   Sri Lanka,LKA,144,2005,21318,18208
   Armenia,ARM,51,2005,191432,277757
   Azerbaijan*,AZE,31,2005,135143,166691
   Bahrain,BHR,48,2005,288614,115404
   Cyprus*,CYP,196,2005,53532,69317
   Georgia*,GEO,268,2005,31215,40081
   Iraq,IRQ,368,2005,81877,52986
   Israel,ISR,376,2005,867805,1021698
   Jordan,JOR,400,2005,1119171,1079569
   Kuwait,KWT,414,2005,918718,414812
   Lebanon,LBN,422,2005,382830,359413
   Oman,OMN,512,2005,527845,138319
   Qatar,QAT,634,2005,498428,147598
   Saudi Arabia,SAU,682,2005,4469805,2032014
   State of Palestine*,PSE,275,2005,124608,149912
   Syrian Arab Republic,SYR,760,2005,452524,429874
   Turkey,TUR,792,2005,621694,702414
   United Arab Emirates,ARE,784,2005,2388299,892816
   Yemen,YEM,887,2005,98879,72992
   Belarus,BLR,112,2005,506988,599994
   Bulgaria,BGR,100,2005,26594,34480
   Czechia,CZE,203,2005,181719,140821
   Hungary,HUN,348,2005,174216,192571
   Poland,POL,616,2005,297039,425470
   Republic of Moldova*,MDA,498,2005,67924,103198
   Romania,ROU,642,2005,70153,75009
   Russian Federation,RUS,643,2005,5806597,5860991
   Slovakia,SVK,703,2005,58716,71775
   Ukraine*,UKR,804,2005,2168060,2882242
   Channel Islands*,CHA,830,2005,33611,37330
   Denmark*,DNK,208,2005,213097,227286
   Estonia,EST,233,2005,94244,139457
   Faroe Islands*,FRO,234,2005,2450,2133
   Finland*,FIN,246,2005,96429,95740
   Iceland,ISL,352,2005,12413,13079
