Año,Pais,Id_Pais,Hombres_origen,Mujeres_origen,Hombres_destino,Mujeres_destino
2005.0,Mali,MLI,504937.0,390423.0,133344.0,125286.0
2005.0,Mauritania,MRT,63798.0,39309.0,32642.0,25569.0
2005.0,Niger,NER,183773.0,120313.0,59194.0,65315.0
2005.0,Nigeria,NGA,440569.0,376823.0,564612.0,405102.0
2005.0,Saint Helena,SHN,1319.0,1949.0,85.0,78.0
2005.0,Senegal,SEN,286672.0,183836.0,124854.0,113444.0
2005.0,Sierra Leone,SLE,76684.0,75202.0,76709.0,69518.0
2005.0,Togo,TGO,198960.0,206843.0,103233.0,100986.0
2005.0,Kazakhstan,KAZ,1736321.0,1981328.0,1472820.0,1630207.0
2005.0,Kyrgyzstan,KGZ,315925.0,336927.0,128064.0,181335.0
2005.0,Tajikistan,TJK,327743.0,258492.0,121403.0,159063.0
2005.0,Turkmenistan,TKM,112625.0,119314.0,101214.0,111839.0
2005.0,Uzbekistan,UZB,880157.0,850067.0,589690.0,740242.0
2005.0,China,CHN,3547044.0,3790167.0,379920.0,299027.0
2005.0,"China, Hong Kong SAR",HKG,377171.0,375305.0,1185121.0,1536114.0
2005.0,"China, Macao SAR",MAC,51712.0,56479.0,130387.0,148921.0
2005.0,"China, Taiwan Province of China",TWN,0.0,0.0,0.0,0.0
2005.0,Dem. People's Republic of Korea,PRK,44079.0,42684.0,19749.0,20348.0
2005.0,Japan,JPN,340784.0,377682.0,931198.0,1080357.0
2005.0,Mongolia,MNG,19757.0,22597.0,7577.0,3900.0
2005.0,Republic of Korea,KOR,970088.0,1004425.0,284305.0,201760.0
2005.0,Brunei Darussalam,BRN,26586.0,18728.0,55265.0,43176.0
2005.0,Cambodia,KHM,319678.0,354758.0,57545.0,56551.0
2005.0,Indonesia,IDN,1544224.0,1237063.0,165287.0,124023.0
2005.0,Lao People's Democratic Republic,LAO,421459.0,475543.0,10930.0,9441.0
2005.0,Malaysia,MYS,631301.0,748004.0,1133541.0,784963.0
2005.0,Myanmar,MMR,960444.0,776146.0,44506.0,38519.0
2005.0,Philippines,PHL,1609037.0,2075491.0,133023.0,124445.0
2005.0,Singapore,SGP,113294.0,122389.0,758762.0,951832.0
2005.0,Thailand,THA,230013.0,401665.0,1102248.0,1093362.0
2005.0,Timor-Leste,TLS,50254.0,44707.0,5578.0,5708.0
2005.0,Viet Nam,VNM,1230126.0,1146099.0,31106.0,20662.0
2005.0,Afghanistan,AFG,2282977.0,1833762.0,49281.0,38033.0
2005.0,Bangladesh,BGD,3263197.0,2229277.0,572146.0,490124.0
2005.0,Bhutan,BTN,61514.0,58805.0,32742.0,7537.0
2005.0,India,IND,5803858.0,3784675.0,2931489.0,3005251.0
2005.0,Iran (Islamic Republic of),IRN,493083.0,396419.0,1401736.0,1150470.0
2005.0,Maldives,MDV,1126.0,1086.0,27079.0,17966.0
2005.0,Nepal,NPL,676438.0,613191.0,235852.0,444877.0
2005.0,Pakistan,PAK,2304528.0,1473302.0,1710343.0,1464215.0
2005.0,Sri Lanka,LKA,636392.0,515161.0,21318.0,18208.0
2005.0,Armenia,ARM,487642.0,413006.0,191432.0,277757.0
2005.0,Azerbaijan,AZE,756699.0,698481.0,135143.0,166691.0
2005.0,Bahrain,BHR,27091.0,24744.0,288614.0,115404.0
2005.0,Cyprus,CYP,76384.0,77589.0,53532.0,69317.0
2005.0,Georgia,GEO,453879.0,431644.0,31215.0,40081.0
2005.0,Iraq,IRQ,746216.0,594383.0,81877.0,52986.0
2005.0,Israel,ISR,160875.0,156134.0,867805.0,1021698.0
2005.0,Jordan,JOR,277273.0,163515.0,1119171.0,1079569.0
2005.0,Kuwait,KWT,76100.0,52905.0,918718.0,414812.0
2005.0,Lebanon,LBN,352390.0,256466.0,382830.0,359413.0
2005.0,Oman,OMN,10002.0,8822.0,527845.0,138319.0
2005.0,Qatar,QAT,8915.0,8216.0,498428.0,147598.0
2005.0,Saudi Arabia,SAU,105465.0,73279.0,4469805.0,2032014.0
2005.0,State of Palestine,PSE,1666877.0,1591225.0,124608.0,149912.0
2005.0,Syrian Arab Republic,SYR,484324.0,329037.0,452524.0,429874.0
2005.0,Turkey,TUR,1374195.0,1203110.0,621694.0,702414.0
2005.0,United Arab Emirates,ARE,69562.0,56056.0,2388299.0,892816.0
2005.0,Yemen,YEM,412023.0,216846.0,98879.0,72992.0
2005.0,Belarus,BLR,683202.0,897958.0,506988.0,599994.0
2005.0,Bulgaria,BGR,426799.0,481022.0,26594.0,34480.0
2005.0,Czechia,CZE,336590.0,415468.0,181719.0,140821.0
2005.0,Hungary,HUN,228737.0,237793.0,174216.0,192571.0
2005.0,Poland,POL,1308371.0,1576286.0,297039.0,425470.0
2005.0,Republic of Moldova,MDA,342253.0,373243.0,67924.0,103198.0
2005.0,Romania,ROU,986924.0,1118982.0,70153.0,75009.0
2005.0,Russian Federation,RUS,4425027.0,5877921.0,5806597.0,5860991.0
2005.0,Slovakia,SVK,128519.0,143309.0,58716.0,71775.0
2005.0,Ukraine,UKR,2557255.0,3009127.0,2168060.0,2882242.0
2005.0,Channel Islands,CHA,7167.0,7648.0,33611.0,37330.0
2005.0,Denmark,DNK,106327.0,118135.0,213097.0,227286.0
2005.0,Estonia,EST,67824.0,82277.0,94244.0,139457.0
2005.0,Faroe Islands,FRO,5200.0,7284.0,2450.0,2133.0
2005.0,Finland,FIN,121279.0,179283.0,96429.0,95740.0
2005.0,Iceland,ISL,14160.0,14509.0,12413.0,13079.0
2005.0,Ireland,IRL,342406.0,427536.0,309910.0,279136.0
2005.0,Isle of Man,IMN,4167.0,4317.0,20214.0,21261.0
2005.0,Latvia,LVA,121873.0,149109.0,154745.0,221980.0
2005.0,Lithuania,LTU,179732.0,232639.0,94189.0,107020.0
2005.0,Norway,NOR,77328.0,96735.0,176444.0,184700.0
2005.0,Sweden,SWE,118935.0,149018.0,538490.0,587300.0
2005.0,United Kingdom,GBR,2088219.0,2056987.0,2818177.0,3107979.0
2005.0,Albania,ALB,517369.0,448663.0,32993.0,31746.0
2005.0,Andorra,AND,2741.0,2986.0,26466.0,23832.0
2005.0,Bosnia and Herzegovina,BIH,726700.0,774336.0,22481.0,24806.0
2005.0,Croatia,HRV,399202.0,439882.0,271645.0,307628.0
2005.0,Gibraltar,GIB,4743.0,4900.0,4518.0,4693.0
2005.0,Greece,GRC,450195.0,417424.0,587677.0,603030.0
2005.0,Holy See,VAT,54.0,56.0,381.0,417.0
2005.0,Italy,ITA,1413246.0,1285240.0,1820290.0,2134500.0
2005.0,Malta,MLT,49819.0,50426.0,11899.0,12661.0
2005.0,Montenegro,MNE,70332.0,77681.0,0.0,0.0
2005.0,North Macedonia,MNP,229907.0,228915.0,53220.0,74447.0
2005.0,Portugal,PRT,899359.0,843650.0,376774.0,394410.0
