,Region of Incident,Incident year,Number of Dead,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Country of Origin,Migration route,Coordinates
9584,Mediterranean,2021,3.0,3,,,,,Northern Africa (P),Unknown,Western Mediterranean,"35.28445362, -3.014215991"
9585,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa (P),Unknown,Western Mediterranean,"35.17991902, -2.914645109"
9586,Europe,2021,1.0,1,7.0,,,,Unknown,Unknown,,"40.96188, 24.402181"
9587,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"29.345707, -100.947238"
9588,North America,2021,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"31.784103, -106.590148"
9589,South America,2021,9.0,9,11.0,1.0,4.0,1.0,Southern Asia,India,Darien,"6.650461, -77.747508"
9590,Mediterranean,2021,4.0,37,13.0,1.0,2.0,3.0,Unknown,"Iraq,Unknown",Eastern Mediterranean,"36.59486502, 24.96125227"
9591,Western Asia,2021,1.0,1,,,,,Unknown,Unknown,Türkiye-Europe land route,"40.81622419, 26.29979817"
9592,Europe,2021,1.0,1,,,,,Unknown,Unknown,English Channel to the UK,"50.96776759, 1.858168536"
9593,Europe,2021,1.0,1,,,,,Unknown,Unknown,English Channel to the UK,"50.9887958, 1.969876921"
9594,Southern Asia,2021,2.0,2,9.0,,2.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.45303828, 59.68287884"
9595,Southern Asia,2021,5.0,5,5.0,,5.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.89119835, 54.36801167"
9596,Southern Asia,2021,1.0,1,1.0,1.0,,,South-eastern Asia,Myanmar,,"22.64824868, 91.1093487"
9597,South-eastern Asia,2021,21.0,37,13.0,6.0,13.0,,South-eastern Asia,Indonesia,,"1.627482545, 104.3150323"
9598,Western Asia,2021,3.0,3,,,,,Unknown,Unknown,Türkiye-Europe land route,"41.6738919, 26.46499074"
9599,Northern Africa,2021,1.0,1,17.0,,1.0,,Northern Africa,Egypt,,"31.39332143, 22.28870139"
9600,Northern Africa,2021,1.0,1,,,1.0,,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"23.92794499, -15.78800626"
9601,Mediterranean,2021,3.0,7,8.0,,3.0,,Northern Africa,Algeria,Western Mediterranean,"36.08663895, -0.315090086"
9602,Northern Africa,2021,2.0,2,,,2.0,,Sub-Saharan Africa,Unknown,,"34.51930268, -1.843305943"
9603,Mediterranean,2021,11.0,11,88.0,9.0,2.0,,Unknown,Unknown,Eastern Mediterranean,"36.27736933, 23.09420429"
9604,Mediterranean,2021,19.0,25,63.0,4.0,12.0,3.0,Unknown,"Iraq,Unknown",Eastern Mediterranean,"37.09629177, 25.13723325"
9605,Mediterranean,2021,1.0,15,22.0,,23.0,,Western Africa,"Gambia,Guinea,Nigeria,Senegal",Central Mediterranean,"33.01479981, 12.54897854"
9606,Mediterranean,2021,21.0,31,4.0,3.0,17.0,1.0,Sub-Saharan Africa,"Mixed/Unknown,Unknown",Central Mediterranean,"33.01479981, 12.54897854"
9607,Mediterranean,2021,2.0,5,5.0,,2.0,,Northern Africa,Algeria,Western Mediterranean,"33.01479981, 12.54897854"
9608,Northern Africa,2021,1.0,1,,,,,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"33.01479981, 12.54897854"
9609,Mediterranean,2021,1.0,6,1.0,,1.0,1.0,Unknown,Unknown,Western Mediterranean,"33.01479981, 12.54897854"
9610,Mediterranean,2021,,2,,,2.0,,Western Asia,Yemen,Western Mediterranean,"33.01479981, 12.54897854"
9611,Mediterranean,2021,,5,,,5.0,5.0,Unknown,Unknown,Western Mediterranean,"33.01479981, 12.54897854"
9612,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa,Morocco,Western Mediterranean,"33.01479981, 12.54897854"
9613,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa,Morocco,Western Mediterranean,"33.01479981, 12.54897854"
9614,Mediterranean,2021,,14,,,,1.0,Northern Africa (P),Unknown,Western Mediterranean,"33.01479981, 12.54897854"
9615,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa (P),Unknown,Western Mediterranean,"33.01479981, 12.54897854"
9616,Mediterranean,2021,1.0,1,,,,,Northern Africa (P),Unknown,Western Mediterranean,"33.01479981, 12.54897854"
9617,Mediterranean,2021,2.0,2,,,2.0,,Northern Africa (P),Unknown,Western Mediterranean,"33.01479981, 12.54897854"
9618,Mediterranean,2021,1.0,1,,1.0,,,Northern Africa (P),Unknown,Western Mediterranean,"33.01479981, 12.54897854"
9619,Mediterranean,2021,1.0,1,,,,,Northern Africa (P),Unknown,Western Mediterranean,"33.01479981, 12.54897854"
9620,Mediterranean,2021,2.0,2,,,2.0,,Northern Africa (P),Unknown,Western Mediterranean,"33.01479981, 12.54897854"
9621,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa (P),Unknown,Western Mediterranean,"33.01479981, 12.54897854"
9622,Northern Africa,2021,7.0,29,31.0,,,,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"33.01479981, 12.54897854"
9623,South-eastern Asia,2021,10.0,22,35.0,,,,South-eastern Asia,Indonesia,,"3.449626614, 100.9802045"
9624,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa (P),Unknown,Western Mediterranean,"33.01479981, 12.54897854"
9625,North America,2021,1.0,1,2.0,,,,Central America,Mexico,US-Mexico border crossing,"32.65243001, -116.8548968"
9626,Europe,2021,1.0,1,,,1.0,,Western Asia,Iraq,Belarus-EU border,"53.1255268, 23.89113831"
9627,Europe,2021,1.0,1,,,,,Western Africa (P),Nigeria,Belarus-EU border,"53.1255268, 23.89113831"
9628,Western Asia,2021,,1,,,1.0,,Southern Asia,Afghanistan,Türkiye-Europe land route,"41.30275096, 26.48012467"
9629,Western Asia,2021,,1,,,1.0,,Southern Asia,Pakistan,Türkiye-Europe land route,"40.9894144, 26.34719477"
9630,Western Asia,2021,,1,3.0,,1.0,1.0,Southern Asia,Afghanistan,Türkiye-Europe land route,"40.94315389, 26.34585211"
9631,Northern Africa,2021,,67,,12.0,55.0,,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"33.01479981, 12.54897854"
9632,Northern Africa,2021,,46,,22.0,,5.0,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"33.01479981, 12.54897854"
9633,Northern Africa,2021,16.0,24,,,,,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"33.01479981, 12.54897854"
9634,Northern Africa,2021,,36,,8.0,26.0,2.0,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"33.01479981, 12.54897854"
9635,Mediterranean,2021,3.0,6,6.0,,,,Unknown,Unknown,Western Mediterranean,"33.01479981, 12.54897854"
9636,South America,2021,1.0,1,,,1.0,,South America,Venezuela (Bolivarian Republic of),,"-3.256664171, -79.873646"
9637,Caribbean,2021,,10,,3.0,4.0,,South America,Venezuela (Bolivarian Republic of),Venezuela to Caribbean,"10.51105527, -61.737821"
9638,South America,2021,1.0,1,,,1.0,,South America,Peru,,"-19.27489006, -68.64026"
9639,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"25.57028983, -100.94349"
9640,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.80621926, -100.539882"
9641,Eastern Africa,2021,1.0,1,,,1.0,,Eastern Africa,Ethiopia,,"33.01479981, 12.54897854"
9642,Eastern Africa,2021,1.0,1,,,1.0,,Western Asia,Yemen,,"33.01479981, 12.54897854"
9643,Mediterranean,2021,2.0,2,27.0,,2.0,1.0,Western Asia,Syrian Arab Republic,Eastern Mediterranean,"33.01479981, 12.54897854"
9644,Mediterranean,2021,2.0,2,24.0,2.0,,,Eastern Africa,Somalia,Eastern Mediterranean,"33.01479981, 12.54897854"
9645,Northern Africa,2021,2.0,2,,,2.0,,Western Africa,Guinea,,"33.01479981, 12.54897854"
9646,Mediterranean,2021,2.0,2,,,,,Unknown,Unknown,Eastern Mediterranean,"33.01479981, 12.54897854"
9647,North America,2021,1.0,1,,,1.0,,South America,Ecuador,US-Mexico border crossing,"32.34638968, -106.816155"
9648,North America,2021,1.0,1,,1.0,,,South America,Ecuador,US-Mexico border crossing,"32.05753115, -108.330251"
9649,North America,2021,1.0,1,,,1.0,,Central America,Honduras,US-Mexico border crossing,"28.6958926, -100.50903"
9650,Central America,2021,1.0,1,,,1.0,,Central America,Guatemala,,"17.47226562, -91.42500125"
9651,Central America,2021,1.0,1,,,1.0,,Central America,Honduras,,"16.57222643, -95.10682307"
9652,Central America,2021,1.0,1,,,1.0,,Central America,Honduras,,"16.75154107, -93.10309024"
9653,Central America,2021,1.0,1,,,1.0,,Central America,Guatemala,,"14.90657249, -92.26359259"
9654,Central America,2021,1.0,1,,,1.0,,Central America,Honduras,,"17.47146346, -91.42477594"
9655,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.6936675, -100.5106763"
9656,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.87598849, -112.8445121"
9657,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.6936675, -100.5106763"
9658,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"29.32063788, -100.9182285"
9659,Central America,2021,1.0,1,,,1.0,,Central America,Honduras,,"14.90657249, -92.26359259"
9660,Central America,2021,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"29.3239455, -100.9286333"
9661,Central America,2021,1.0,1,,1.0,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.6936675, -100.5106763"
9662,Central America,2021,2.0,2,,,2.0,,Latin America / Caribbean (P),Unknown,,"17.47654794, -91.40864085"
9663,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"25.8839311, -97.49782897"
9664,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.6936675, -100.5106763"
9665,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.6936675, -100.5106763"
9666,Central America,2021,3.0,3,,2.0,1.0,,Central America,Guatemala,,"16.24365608, -92.12384666"
9667,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"25.8839311, -97.49782897"
9668,Central America,2021,1.0,1,,,1.0,,Caribbean,Haiti,,"14.90657249, -92.26359259"
9669,Central America,2021,1.0,1,,,1.0,,Central America,El Salvador,,"17.47146346, -91.42477594"
9670,Central America,2021,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.6936675, -100.5106763"
9671,Central America,2021,1.0,1,,1.0,,,Central America,Nicaragua,,"16.54858089, -95.10283759"
9672,Central America,2021,2.0,2,,,2.0,,Caribbean,Haiti,,"14.90657249, -92.26359259"
9673,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.56647962, -116.6708237"
9674,Central America,2021,1.0,1,,1.0,,,Caribbean,Haiti,,"16.54858089, -95.10283759"
9675,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.69755865, -100.5113841"
9676,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"29.34612492, -100.9572459"
9677,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.55266838, -116.8861104"
9678,Central America,2021,2.0,2,,2.0,,1.0,Central America,Honduras,,"16.75154107, -93.10309024"
9679,Central America,2021,1.0,1,,,,1.0,Central America,Honduras,,"16.77257029, -93.10414336"
9680,Central America,2021,1.0,1,,1.0,,,Latin America / Caribbean (P),Unknown,,"31.74643378, -106.4874159"
9681,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.6936675, -100.5106763"
9682,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.6936675, -100.5106763"
9683,Europe,2021,1.0,1,,,1.0,1.0,Northern Africa,Sudan,English Channel to the UK,"50.943662, 1.939685"
9684,North America,2021,1.0,1,,,1.0,,Central America,Nicaragua,US-Mexico border crossing,"32.55613766, -114.78742"
9685,North America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.68336334, -111.771129"
9686,North America,2021,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"32.457526, -111.642319"
9687,North America,2021,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.7892, -112.3544"
9688,North America,2021,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.914255, -111.984646"
9689,North America,2021,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.944159, -111.84184"
9690,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9691,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9692,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9693,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9694,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9695,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9696,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9697,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9698,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9699,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9700,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9701,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9702,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.25398987, 52.50577501"
9703,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9704,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9705,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9706,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9707,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.56830836, 52.49085107"
9708,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9709,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"37.56427965, 44.95937698"
9710,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9711,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.85315945, 57.41401628"
9712,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9713,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9714,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"36.07730236, 49.87005574"
9715,Southern Asia,2021,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9716,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"37.56427965, 44.95937698"
9717,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9718,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"36.07730236, 49.87005574"
9719,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.25398987, 52.50577501"
9720,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9721,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.96625955, 54.75878479"
9722,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.96625955, 54.75878479"
9723,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.21161534, 60.68482798"
9724,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"37.56427965, 44.95937698"
9725,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9726,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9727,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.96625955, 54.75878479"
9728,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9729,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"37.56427965, 44.95937698"
9730,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.25398987, 52.50577501"
9731,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9732,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.25398987, 52.50577501"
9733,Southern Asia,2021,1.0,1,,1.0,,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9734,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.25398987, 52.50577501"
9735,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9736,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.96625955, 54.75878479"
9737,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9738,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9739,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9740,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9741,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9742,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9743,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9744,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.47645121, 60.86744515"
9745,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"36.07730236, 49.87005574"
9746,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.47645121, 60.86744515"
9747,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9748,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.23007995, 61.19603687"
9749,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"37.56427965, 44.95937698"
9750,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.35022729, 62.35316592"
9751,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"28.95046741, 57.57054013"
9752,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.72996721, 53.33652472"
9753,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.99566687, 57.72427834"
9754,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"31.88472913, 54.33057395"
9755,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9756,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.84338571, 52.51348965"
9757,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9758,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9759,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9760,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9761,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9762,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9763,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9764,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9765,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9766,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9767,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9768,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9769,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9770,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9771,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9772,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9773,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9774,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9775,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"35.68940913, 51.38958967"
9776,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.88472913, 54.33057395"
9777,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.23007995, 61.19603687"
9778,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"28.23007995, 61.19603687"
9779,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.23007995, 61.19603687"
9780,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.23007995, 61.19603687"
9781,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.21161534, 60.68482798"
9782,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"30.27629382, 57.0662465"
9783,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9784,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"30.89202146, 61.68389773"
9785,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.23007995, 61.19603687"
9786,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9787,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9788,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.88472913, 54.33057395"
9789,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.51929069, 60.85182954"
9790,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.1892535, 56.23307736"
9791,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9792,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"28.5056084, 58.8606437"
9793,Southern Asia,2021,1.0,1,,,,1.0,Southern Asia,Afghanistan,Afghanistan to Iran,"31.05124289, 61.50177317"
9794,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.99566687, 57.72427834"
9795,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.1793466, 56.2781423"
9796,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.1793466, 56.2781423"
9797,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"29.63186286, 52.51236196"
9798,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"32.25398987, 52.50577501"
9799,Southern Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Afghanistan to Iran,"27.21161534, 60.68482798"
