,Region of Incident,Incident year,Number of Dead,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Country of Origin,Migration route,Coordinates
1743,North America,2016,1.0,1,,,1.0,,Central America,El Salvador,US-Mexico border crossing,"31.903683, -112.146183"
1744,North America,2016,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"24.215586, -99.4332699"
1745,North America,2016,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.607767, -113.046967"
1746,Eastern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"15.1115526, 36.230819"
1747,Northern Africa,2016,1.0,1,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"24.138269, 33.026759"
1748,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"18.008686, 33.9948098"
1749,North America,2016,1.0,1,,,,,Unknown,Unknown,US-Mexico border crossing,"26.9403821, -97.9181768"
1750,North America,2016,1.0,1,,,,,Unknown,Unknown,US-Mexico border crossing,"26.376354, -98.3833477"
1751,North America,2016,1.0,1,9.0,,1.0,,Central America,Mexico,US-Mexico border crossing,"33.0184054, -117.3988689"
1752,Mediterranean,2016,1.0,1,,,1.0,,Middle Africa,Cameroon,Western Mediterranean,"35.8799847, -5.3689932"
1753,Northern Africa,2016,4.0,4,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"15.6424713, 32.3154026"
1754,Northern Africa,2016,2.0,2,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"17.6922271, 33.9762492"
1755,Northern Africa,2016,3.0,3,,,,,Eastern Africa (P),Unknown,Sahara Desert crossing,"15.5001341, 32.5144024"
